ADRO;ASII;BBCA;BBNI;BBRI;BMRI;ICBP;INDF;INTP;KLBF;PGAS;PTBA;SMGR;TLKM;UNTR;UNVR
1570;7950;2200;2300;1718;2513;4250;7300;21950;1290;4800;3020;17302;2150;19300;4570
1230;7350;1810;1925;1200;1775;5000;6500;19700;1350;5400;2420;12565;2200;15800;6240
995;6950;2045;2275;1686;2275;5588;7175;22450;1450;4900;1915;14958;2325;18975;5715
1185;7425;2240;2675;2009;2594;5250;6875;24250;1660;5800;2670;16180;2665;22150;6205
960;7850;2820;3438;2341;3000;7150;7400;24050;1805;5200;2135;14834;2935;20750;7200
875;6850;2580;2475;1932;2275;6375;5300;19625;1675;2780;1170;9224;2870;19125;7945
605;6800;2695;2538;2014;2388;7875;7050;20025;1300;2635;1015;10222;3250;15525;8905
730;6725;3010;2938;2118;2806;9975;7925;17700;1795;3020;1985;9873;4210;18750;9130
1695;8200;3090;3125;2173;2825;8325;8125;15150;1530;2830;2235;9598;3850;24650;8435
1775;8950;3790;3675;2750;3275;8725;8375;19800;1710;2120;2475;10446;4690;30300;10110
2350;8075;4635;4863;3436;4150;8975;7575;21975;1600;2670;3170;11094;4000;35600;10780
1835;7150;4960;3900;2891;3450;8675;6375;17725;1345;2140;4050;9424;3490;34400;8770
1310;7150;5515;4400;3500;3563;10225;7075;19225;1495;2540;3980;12615;3860;26500;9735
1305;7625;6100;3850;3882;3625;12050;7925;21725;1690;1920;2470;13213;4450;20925;9770
1155;5525;6290;3513;3809;3638;10275;6500;14925;1220;1280;2240;10446;3490;16600;6825
920;3850;6275;2550;3191;2975;10225;7625;11875;1580;1255;2040;10521;2860;23000;8225
1180;5400;6710;2975;4282;3075;8575;6050;12500;1470;1440;2710;10172;3490;22550;7000
1245;5500;6550;2700;3573;3050;8425;6175;11250;1345;1035;2110;9224;3400;20075;4050
2450;5800;8050;4000;4550;3850;8500;6200;10950;1645;1440;3140;7180;4340;24900;3680
3340;7575;8200;4263;4340;4425;8300;6225;9450;1680;1840;4250;6582;4560;33850;4590
2990;6100;8750;4388;4670;5000;10125;6475;11125;2110;1565;3860;7225;3880;27900;4180
3130;6750;9175;4588;5550;6025;11200;7100;10700;1815;1375;2860;6800;3730;26000;3670
